regiao,estado,date,casosNovos,casosAcumulados,obitosNovos,obitosAcumulados
Sudeste,MG,2020-02-01,0,0,0,0
Sudeste,MG,2020-02-02,0,0,0,0
Sudeste,MG,2020-02-03,0,0,0,0
Sudeste,MG,2020-02-04,0,0,0,0
Sudeste,MG,2020-02-05,0,0,0,0
Sudeste,MG,2020-02-06,0,0,0,0
Sudeste,MG,2020-02-07,0,0,0,0
Sudeste,MG,2020-02-08,0,0,0,0
Sudeste,MG,2020-02-09,0,0,0,0
Sudeste,MG,2020-02-10,0,0,0,0
Sudeste,MG,2020-02-11,0,0,0,0
Sudeste,MG,2020-02-12,0,0,0,0
Sudeste,MG,2020-02-13,0,0,0,0
Sudeste,MG,2020-02-14,0,0,0,0
Sudeste,MG,2020-02-15,0,0,0,0
Sudeste,MG,2020-02-16,0,0,0,0
Sudeste,MG,2020-02-17,0,0,0,0
Sudeste,MG,2020-02-18,0,0,0,0
Sudeste,MG,2020-02-19,0,0,0,0
Sudeste,MG,2020-02-20,0,0,0,0
Sudeste,MG,2020-02-21,0,0,0,0
Sudeste,MG,2020-02-22,0,0,0,0
Sudeste,MG,2020-02-23,0,0,0,0
Sudeste,MG,2020-02-24,0,0,0,0
Sudeste,MG,2020-02-25,0,0,0,0
Sudeste,MG,2020-02-26,0,0,0,0
Sudeste,MG,2020-02-27,0,0,0,0
Sudeste,MG,2020-02-28,0,0,0,0
Sudeste,MG,2020-02-29,0,0,0,0
Sudeste,MG,2020-03-01,0,0,0,0
Sudeste,MG,2020-03-02,0,0,0,0
Sudeste,MG,2020-03-03,0,0,0,0
Sudeste,MG,2020-03-04,0,0,0,0
Sudeste,MG,2020-03-05,0,0,0,0
Sudeste,MG,2020-03-06,0,0,0,0
Sudeste,MG,2020-03-07,0,0,0,0
Sudeste,MG,2020-03-08,1,1,0,0
Sudeste,MG,2020-03-09,0,1,0,0
Sudeste,MG,2020-03-10,0,1,0,0
Sudeste,MG,2020-03-11,0,1,0,0
Sudeste,MG,2020-03-12,0,1,0,0
Sudeste,MG,2020-03-13,1,2,0,0
Sudeste,MG,2020-03-14,0,2,0,0
Sudeste,MG,2020-03-15,0,2,0,0
Sudeste,MG,2020-03-16,3,5,0,0
Sudeste,MG,2020-03-17,2,7,0,0
Sudeste,MG,2020-03-18,8,15,0,0
Sudeste,MG,2020-03-19,14,29,0,0
Sudeste,MG,2020-03-20,6,35,0,0
Sudeste,MG,2020-03-21,3,38,0,0
Sudeste,MG,2020-03-22,45,83,0,0
Sudeste,MG,2020-03-23,45,128,0,0
Sudeste,MG,2020-03-24,2,130,0,0
Sudeste,MG,2020-03-25,3,133,0,0
Sudeste,MG,2020-03-26,20,153,0,0
Sudeste,MG,2020-03-27,36,189,0,0
Sudeste,MG,2020-03-28,16,205,0,0
Sudeste,MG,2020-03-29,26,231,0,0
Sudeste,MG,2020-03-30,30,261,1,1
Sudeste,MG,2020-03-31,14,275,1,2
Sudeste,MG,2020-04-01,39,314,1,3
Sudeste,MG,2020-04-02,56,370,1,4
Sudeste,MG,2020-04-03,27,397,2,6
Sudeste,MG,2020-04-04,33,430,0,6
Sudeste,MG,2020-04-05,68,498,0,6
Sudeste,MG,2020-04-06,27,525,3,9
Sudeste,MG,2020-04-07,34,559,2,11
Sudeste,MG,2020-04-08,55,614,3,14
Sudeste,MG,2020-04-09,41,655,1,15
Sudeste,MG,2020-04-10,43,698,2,17
Sudeste,MG,2020-04-11,52,750,0,17
Sudeste,MG,2020-04-12,56,806,3,20
Sudeste,MG,2020-04-13,9,815,3,23
Sudeste,MG,2020-04-14,69,884,4,27
Sudeste,MG,2020-04-15,19,903,3,30
Sudeste,MG,2020-04-16,55,958,3,33
Sudeste,MG,2020-04-17,63,1021,2,35
Sudeste,MG,2020-04-18,56,1077,4,39
Sudeste,MG,2020-04-19,77,1154,0,39
Sudeste,MG,2020-04-20,35,1189,2,41
Sudeste,MG,2020-04-21,41,1230,3,44
Sudeste,MG,2020-04-22,53,1283,3,47
Sudeste,MG,2020-04-23,25,1308,4,51
Sudeste,MG,2020-04-24,111,1419,3,54
Sudeste,MG,2020-04-25,62,1481,4,58
Sudeste,MG,2020-04-26,67,1548,3,61
Sudeste,MG,2020-04-27,38,1586,1,62
Sudeste,MG,2020-04-28,63,1649,9,71
Sudeste,MG,2020-04-29,109,1758,9,80
Sudeste,MG,2020-04-30,69,1827,2,82
Sudeste,MG,2020-05-01,108,1935,6,88
Sudeste,MG,2020-05-02,88,2023,0,88
Sudeste,MG,2020-05-03,95,2118,1,89
Sudeste,MG,2020-05-04,229,2347,1,90
Sudeste,RJ,2020-02-01,0,0,0,0
Sudeste,RJ,2020-02-02,0,0,0,0
Sudeste,RJ,2020-02-03,0,0,0,0
Sudeste,RJ,2020-02-04,0,0,0,0
Sudeste,RJ,2020-02-05,0,0,0,0
Sudeste,RJ,2020-02-06,0,0,0,0
Sudeste,RJ,2020-02-07,0,0,0,0
Sudeste,RJ,2020-02-08,0,0,0,0
Sudeste,RJ,2020-02-09,0,0,0,0
Sudeste,RJ,2020-02-10,0,0,0,0
Sudeste,RJ,2020-02-11,0,0,0,0
Sudeste,RJ,2020-02-12,0,0,0,0
Sudeste,RJ,2020-02-13,0,0,0,0
Sudeste,RJ,2020-02-14,0,0,0,0
Sudeste,RJ,2020-02-15,0,0,0,0
Sudeste,RJ,2020-02-16,0,0,0,0
Sudeste,RJ,2020-02-17,0,0,0,0
Sudeste,RJ,2020-02-18,0,0,0,0
Sudeste,RJ,2020-02-19,0,0,0,0
Sudeste,RJ,2020-02-20,0,0,0,0
Sudeste,RJ,2020-02-21,0,0,0,0
Sudeste,RJ,2020-02-22,0,0,0,0
Sudeste,RJ,2020-02-23,0,0,0,0
Sudeste,RJ,2020-02-24,0,0,0,0
Sudeste,RJ,2020-02-25,0,0,0,0
Sudeste,RJ,2020-02-26,0,0,0,0
Sudeste,RJ,2020-02-27,0,0,0,0
Sudeste,RJ,2020-02-28,0,0,0,0
Sudeste,RJ,2020-02-29,0,0,0,0
Sudeste,RJ,2020-03-01,0,0,0,0
Sudeste,RJ,2020-03-02,0,0,0,0
Sudeste,RJ,2020-03-03,0,0,0,0
Sudeste,RJ,2020-03-04,0,0,0,0
Sudeste,RJ,2020-03-05,1,1,0,0
Sudeste,RJ,2020-03-06,0,1,0,0
Sudeste,RJ,2020-03-07,1,2,0,0
Sudeste,RJ,2020-03-08,1,3,0,0
Sudeste,RJ,2020-03-09,0,3,0,0
Sudeste,RJ,2020-03-10,5,8,0,0
Sudeste,RJ,2020-03-11,5,13,0,0
Sudeste,RJ,2020-03-12,3,16,0,0
Sudeste,RJ,2020-03-13,0,16,0,0
Sudeste,RJ,2020-03-14,6,22,0,0
Sudeste,RJ,2020-03-15,2,24,0,0
Sudeste,RJ,2020-03-16,7,31,0,0
Sudeste,RJ,2020-03-17,2,33,0,0
Sudeste,RJ,2020-03-18,12,45,0,0
Sudeste,RJ,2020-03-19,20,65,2,2
Sudeste,RJ,2020-03-20,44,109,0,2
Sudeste,RJ,2020-03-21,10,119,1,3
Sudeste,RJ,2020-03-22,67,186,0,3
Sudeste,RJ,2020-03-23,47,233,1,4
Sudeste,RJ,2020-03-24,72,305,2,6
Sudeste,RJ,2020-03-25,65,370,0,6
Sudeste,RJ,2020-03-26,51,421,3,9
Sudeste,RJ,2020-03-27,72,493,1,10
Sudeste,RJ,2020-03-28,65,558,3,13
Sudeste,RJ,2020-03-29,42,600,4,17
Sudeste,RJ,2020-03-30,57,657,1,18
Sudeste,RJ,2020-03-31,51,708,5,23
Sudeste,RJ,2020-04-01,124,832,5,28
Sudeste,RJ,2020-04-02,160,992,13,41
Sudeste,RJ,2020-04-03,82,1074,6,47
Sudeste,RJ,2020-04-04,172,1246,11,58
Sudeste,RJ,2020-04-05,148,1394,6,64
Sudeste,RJ,2020-04-06,67,1461,7,71
Sudeste,RJ,2020-04-07,227,1688,18,89
Sudeste,RJ,2020-04-08,250,1938,17,106
Sudeste,RJ,2020-04-09,278,2216,16,122
Sudeste,RJ,2020-04-10,248,2464,25,147
Sudeste,RJ,2020-04-11,143,2607,8,155
Sudeste,RJ,2020-04-12,248,2855,15,170
Sudeste,RJ,2020-04-13,376,3231,18,188
Sudeste,RJ,2020-04-14,179,3410,36,224
Sudeste,RJ,2020-04-15,333,3743,41,265
Sudeste,RJ,2020-04-16,201,3944,35,300
Sudeste,RJ,2020-04-17,405,4349,41,341
Sudeste,RJ,2020-04-18,194,4543,46,387
Sudeste,RJ,2020-04-19,222,4765,15,402
Sudeste,RJ,2020-04-20,134,4899,20,422
Sudeste,RJ,2020-04-21,407,5306,39,461
Sudeste,RJ,2020-04-22,246,5552,29,490
Sudeste,RJ,2020-04-23,620,6172,40,530
Sudeste,RJ,2020-04-24,110,6282,40,570
Sudeste,RJ,2020-04-25,546,6828,45,615
Sudeste,RJ,2020-04-26,283,7111,30,645
Sudeste,RJ,2020-04-27,833,7944,32,677
Sudeste,RJ,2020-04-28,560,8504,61,738
Sudeste,RJ,2020-04-29,365,8869,56,794
Sudeste,RJ,2020-04-30,584,9453,60,854
Sudeste,RJ,2020-05-01,713,10166,67,921
Sudeste,RJ,2020-05-02,380,10546,50,971
Sudeste,RJ,2020-05-03,593,11139,48,1019
Sudeste,RJ,2020-05-04,582,11721,46,1065
Centro-Oeste,MS,2020-02-01,0,0,0,0
Centro-Oeste,MS,2020-02-02,0,0,0,0
Centro-Oeste,MS,2020-02-03,0,0,0,0
Centro-Oeste,MS,2020-02-04,0,0,0,0
Centro-Oeste,MS,2020-02-05,0,0,0,0
Centro-Oeste,MS,2020-02-06,0,0,0,0
Centro-Oeste,MS,2020-02-07,0,0,0,0
Centro-Oeste,MS,2020-02-08,0,0,0,0
Centro-Oeste,MS,2020-02-09,0,0,0,0
Centro-Oeste,MS,2020-02-10,0,0,0,0
Centro-Oeste,MS,2020-02-11,0,0,0,0
Centro-Oeste,MS,2020-02-12,0,0,0,0
Centro-Oeste,MS,2020-02-13,0,0,0,0
Centro-Oeste,MS,2020-02-14,0,0,0,0
Centro-Oeste,MS,2020-02-15,0,0,0,0
Centro-Oeste,MS,2020-02-16,0,0,0,0
Centro-Oeste,MS,2020-02-17,0,0,0,0
Centro-Oeste,MS,2020-02-18,0,0,0,0
Centro-Oeste,MS,2020-02-19,0,0,0,0
Centro-Oeste,MS,2020-02-20,0,0,0,0
Centro-Oeste,MS,2020-02-21,0,0,0,0
Centro-Oeste,MS,2020-02-22,0,0,0,0
Centro-Oeste,MS,2020-02-23,0,0,0,0
Centro-Oeste,MS,2020-02-24,0,0,0,0
Centro-Oeste,MS,2020-02-25,0,0,0,0
Centro-Oeste,MS,2020-02-26,0,0,0,0
Centro-Oeste,MS,2020-02-27,0,0,0,0
Centro-Oeste,MS,2020-02-28,0,0,0,0
Centro-Oeste,MS,2020-02-29,0,0,0,0
Centro-Oeste,MS,2020-03-01,0,0,0,0
Centro-Oeste,MS,2020-03-02,0,0,0,0
Centro-Oeste,MS,2020-03-03,0,0,0,0
Centro-Oeste,MS,2020-03-04,0,0,0,0
Centro-Oeste,MS,2020-03-05,0,0,0,0
Centro-Oeste,MS,2020-03-06,0,0,0,0
Centro-Oeste,MS,2020-03-07,0,0,0,0
Centro-Oeste,MS,2020-03-08,0,0,0,0
Centro-Oeste,MS,2020-03-09,0,0,0,0
Centro-Oeste,MS,2020-03-10,0,0,0,0
Centro-Oeste,MS,2020-03-11,0,0,0,0
Centro-Oeste,MS,2020-03-12,0,0,0,0
Centro-Oeste,MS,2020-03-13,0,0,0,0
Centro-Oeste,MS,2020-03-14,0,0,0,0
Centro-Oeste,MS,2020-03-15,0,0,0,0
Centro-Oeste,MS,2020-03-16,2,2,0,0
Centro-Oeste,MS,2020-03-17,2,4,0,0
Centro-Oeste,MS,2020-03-18,3,7,0,0
Centro-Oeste,MS,2020-03-19,0,7,0,0
Centro-Oeste,MS,2020-03-20,2,9,0,0
Centro-Oeste,MS,2020-03-21,7,16,0,0
Centro-Oeste,MS,2020-03-22,5,21,0,0
Centro-Oeste,MS,2020-03-23,0,21,0,0
Centro-Oeste,MS,2020-03-24,2,23,0,0
Centro-Oeste,MS,2020-03-25,1,24,0,0
Centro-Oeste,MS,2020-03-26,1,25,0,0
Centro-Oeste,MS,2020-03-27,3,28,0,0
Centro-Oeste,MS,2020-03-28,3,31,0,0
Centro-Oeste,MS,2020-03-29,5,36,0,0
Centro-Oeste,MS,2020-03-30,8,44,0,0
Centro-Oeste,MS,2020-03-31,4,48,1,1
Centro-Oeste,MS,2020-04-01,3,51,0,1
Centro-Oeste,MS,2020-04-02,2,53,0,1
Centro-Oeste,MS,2020-04-03,7,60,0,1
Centro-Oeste,MS,2020-04-04,2,62,0,1
Centro-Oeste,MS,2020-04-05,3,65,0,1
Centro-Oeste,MS,2020-04-06,1,66,0,1
Centro-Oeste,MS,2020-04-07,14,80,1,2
Centro-Oeste,MS,2020-04-08,5,85,0,2
Centro-Oeste,MS,2020-04-09,4,89,0,2
Centro-Oeste,MS,2020-04-10,8,97,0,2
Centro-Oeste,MS,2020-04-11,3,100,0,2
Centro-Oeste,MS,2020-04-12,1,101,0,2
Centro-Oeste,MS,2020-04-13,12,113,2,4
Centro-Oeste,MS,2020-04-14,2,115,0,4
Centro-Oeste,MS,2020-04-15,6,121,0,4
Centro-Oeste,MS,2020-04-16,10,131,1,5
Centro-Oeste,MS,2020-04-17,12,143,0,5
Centro-Oeste,MS,2020-04-18,18,161,0,5
Centro-Oeste,MS,2020-04-19,7,168,0,5
Centro-Oeste,MS,2020-04-20,3,171,0,5
Centro-Oeste,MS,2020-04-21,2,173,1,6
Centro-Oeste,MS,2020-04-22,2,175,0,6
Centro-Oeste,MS,2020-04-23,11,186,1,7
Centro-Oeste,MS,2020-04-24,27,213,0,7
Centro-Oeste,MS,2020-04-25,4,217,0,7
Centro-Oeste,MS,2020-04-26,17,234,0,7
Centro-Oeste,MS,2020-04-27,4,238,2,9
Centro-Oeste,MS,2020-04-28,2,240,0,9
Centro-Oeste,MS,2020-04-29,9,249,0,9
Centro-Oeste,MS,2020-04-30,6,255,0,9
Centro-Oeste,MS,2020-05-01,6,261,0,9
Centro-Oeste,MS,2020-05-02,5,266,0,9
Centro-Oeste,MS,2020-05-03,6,272,1,10
Centro-Oeste,MS,2020-05-04,2,274,0,10
Centro-Oeste,DF,2020-02-01,0,0,0,0
Centro-Oeste,DF,2020-02-02,0,0,0,0
Centro-Oeste,DF,2020-02-03,0,0,0,0
Centro-Oeste,DF,2020-02-04,0,0,0,0
Centro-Oeste,DF,2020-02-05,0,0,0,0
Centro-Oeste,DF,2020-02-06,0,0,0,0
Centro-Oeste,DF,2020-02-07,0,0,0,0
Centro-Oeste,DF,2020-02-08,0,0,0,0
Centro-Oeste,DF,2020-02-09,0,0,0,0
Centro-Oeste,DF,2020-02-10,0,0,0,0
Centro-Oeste,DF,2020-02-11,0,0,0,0
Centro-Oeste,DF,2020-02-12,0,0,0,0
Centro-Oeste,DF,2020-02-13,0,0,0,0
Centro-Oeste,DF,2020-02-14,0,0,0,0
Centro-Oeste,DF,2020-02-15,0,0,0,0
Centro-Oeste,DF,2020-02-16,0,0,0,0
Centro-Oeste,DF,2020-02-17,0,0,0,0
Centro-Oeste,DF,2020-02-18,0,0,0,0
Centro-Oeste,DF,2020-02-19,0,0,0,0
Centro-Oeste,DF,2020-02-20,0,0,0,0
Centro-Oeste,DF,2020-02-21,0,0,0,0
Centro-Oeste,DF,2020-02-22,0,0,0,0
Centro-Oeste,DF,2020-02-23,0,0,0,0
Centro-Oeste,DF,2020-02-24,0,0,0,0
Centro-Oeste,DF,2020-02-25,0,0,0,0
Centro-Oeste,DF,2020-02-26,0,0,0,0
Centro-Oeste,DF,2020-02-27,0,0,0,0
Centro-Oeste,DF,2020-02-28,0,0,0,0
Centro-Oeste,DF,2020-02-29,0,0,0,0
Centro-Oeste,DF,2020-03-01,0,0,0,0
Centro-Oeste,DF,2020-03-02,0,0,0,0
Centro-Oeste,DF,2020-03-03,0,0,0,0
Centro-Oeste,DF,2020-03-04,0,0,0,0
Centro-Oeste,DF,2020-03-05,0,0,0,0
Centro-Oeste,DF,2020-03-06,0,0,0,0
Centro-Oeste,DF,2020-03-07,1,1,0,0
Centro-Oeste,DF,2020-03-08,0,1,0,0
Centro-Oeste,DF,2020-03-09,0,1,0,0
Centro-Oeste,DF,2020-03-10,0,1,0,0
Centro-Oeste,DF,2020-03-11,1,2,0,0
Centro-Oeste,DF,2020-03-12,0,2,0,0
Centro-Oeste,DF,2020-03-13,0,2,0,0
Centro-Oeste,DF,2020-03-14,4,6,0,0
Centro-Oeste,DF,2020-03-15,2,8,0,0
Centro-Oeste,DF,2020-03-16,5,13,0,0
Centro-Oeste,DF,2020-03-17,9,22,0,0
Centro-Oeste,DF,2020-03-18,4,26,0,0
Centro-Oeste,DF,2020-03-19,16,42,0,0
Centro-Oeste,DF,2020-03-20,45,87,0,0
Centro-Oeste,DF,2020-03-21,13,100,0,0
Centro-Oeste,DF,2020-03-22,17,117,0,0
Centro-Oeste,DF,2020-03-23,16,133,0,0
Centro-Oeste,DF,2020-03-24,27,160,0,0
Centro-Oeste,DF,2020-03-25,0,160,0,0
Centro-Oeste,DF,2020-03-26,40,200,0,0
Centro-Oeste,DF,2020-03-27,30,230,0,0
Centro-Oeste,DF,2020-03-28,30,260,0,0
Centro-Oeste,DF,2020-03-29,29,289,1,1
Centro-Oeste,DF,2020-03-30,23,312,0,1
Centro-Oeste,DF,2020-03-31,20,332,2,3
Centro-Oeste,DF,2020-04-01,23,355,0,3
Centro-Oeste,DF,2020-04-02,15,370,1,4
Centro-Oeste,DF,2020-04-03,32,402,1,5
Centro-Oeste,DF,2020-04-04,52,454,2,7
Centro-Oeste,DF,2020-04-05,14,468,0,7
Centro-Oeste,DF,2020-04-06,5,473,3,10
Centro-Oeste,DF,2020-04-07,19,492,2,12
Centro-Oeste,DF,2020-04-08,17,509,0,12
Centro-Oeste,DF,2020-04-09,18,527,1,13
Centro-Oeste,DF,2020-04-10,28,555,1,14
Centro-Oeste,DF,2020-04-11,24,579,0,14
Centro-Oeste,DF,2020-04-12,35,614,0,14
Centro-Oeste,DF,2020-04-13,24,638,1,15
Centro-Oeste,DF,2020-04-14,13,651,2,17
Centro-Oeste,DF,2020-04-15,31,682,0,17
Centro-Oeste,DF,2020-04-16,34,716,3,20
Centro-Oeste,DF,2020-04-17,30,746,0,20
Centro-Oeste,DF,2020-04-18,16,762,4,24
Centro-Oeste,DF,2020-04-19,65,827,0,24
Centro-Oeste,DF,2020-04-20,45,872,0,24
Centro-Oeste,DF,2020-04-21,9,881,0,24
Centro-Oeste,DF,2020-04-22,65,946,1,25
Centro-Oeste,DF,2020-04-23,17,963,0,25
Centro-Oeste,DF,2020-04-24,26,989,1,26
Centro-Oeste,DF,2020-04-25,24,1013,0,26
Centro-Oeste,DF,2020-04-26,53,1066,1,27
Centro-Oeste,DF,2020-04-27,80,1146,0,27
Centro-Oeste,DF,2020-04-28,67,1213,1,28
Centro-Oeste,DF,2020-04-29,62,1275,0,28
Centro-Oeste,DF,2020-04-30,81,1356,2,30
Centro-Oeste,DF,2020-05-01,110,1466,0,30
Centro-Oeste,DF,2020-05-02,100,1566,1,31
Centro-Oeste,DF,2020-05-03,83,1649,2,33
Centro-Oeste,DF,2020-05-04,119,1768,0,33